ln_precio_m2,precio_m2,precio,area_total_m2,ln_area_total_m2,area_constr_m2,ratio_construccion,dormitorios,banios,nro_pisos,cocheras,antiguedad,estado_inmueble,tipo_vivienda,distrito,piscina,terraza,jardin,parrilla,cuarto_servicio,banio_servicio,sistema_seguridad,colegios_cercanos,centros_comerciales_cercanos,parques_cercanos
5.010635294,150,1440000,9600,9.169518377,500,0.052083333,3,4,1,0,1,A Remodelar,Casa en condominio,Cieneguilla,0,1,1,1,1,1,0,0,0,0
5.051457289,156.25,160000,1024,6.931471806,180,0.17578125,4,2,2,5,1,NoEspecifica,Casa en condominio,Cieneguilla,1,1,1,1,0,0,0,0,0,0
5.082228947,161.1328125,165000,1024,6.931471806,275,0.268554688,5,5,2,3,4,NoEspecifica,Casa en condominio,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.119925088,167.3228346,425000,2540,7.83991936,80,0.031496063,3,2,1,4,9,Muy bueno,Casa,Pachacamac,0,0,1,0,0,0,0,0,0,1
5.127359568,168.5714286,1180000,7000,8.853665428,500,0.071428571,5,5,2,5,3,NoEspecifica,Casa,Cieneguilla,1,0,1,1,1,1,0,0,0,0
5.14867557,172.2032681,959000,5569,8.624970784,628,0.112767104,3,4,1,5,7,Muy bueno,Casa,Pachacamac,1,0,1,1,1,1,0,0,0,0
5.192956851,180,1098000,6100,8.71604405,580,0.095081967,4,4,1,5,1,NoEspecifica,Casa,Pachacamac,1,1,1,1,1,1,0,0,0,0
5.248892483,190.3553299,300000,1576,7.36264527,201,0.127538071,5,5,1,4,5,Bueno,Casa en condominio,Pucusana,0,0,1,1,1,1,1,0,0,0
5.332869748,207.03125,530000,2560,7.847762537,351,0.137109375,3,4,2,5,1,Excelente,Casa,Pachacamac,0,0,0,1,1,1,1,0,1,1
5.332869748,207.03125,530000,2560,7.847762537,351,0.137109375,3,5,2,5,3,NoEspecifica,Casa,Pachacamac,0,0,0,0,0,0,0,0,0,0
5.33753808,208,260000,1250,7.13089883,100,0.08,2,2,1,5,5,NoEspecifica,Casa,Cieneguilla,0,0,0,0,0,0,0,1,1,1
5.35050312,210.7142857,590000,2800,7.937374696,550,0.196428571,5,5,2,5,8,Muy bueno,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.382475675,217.5602176,280000,1287,7.160069208,130,0.101010101,4,3,2,1,3,A Remodelar,Casa,Lurigancho,0,0,0,0,1,1,0,1,0,0
5.449768989,232.7044025,370000,1590,7.371489295,220,0.13836478,5,4,2,5,1,Muy bueno,Casa en condominio,Pucusana,1,0,1,1,1,1,1,0,0,1
5.452508208,233.3427045,830000,3557,8.176672772,600,0.168681473,5,5,1,5,2,NoEspecifica,Casa,Cieneguilla,0,1,0,0,0,0,0,0,0,0
5.476437236,238.9937107,760000,3180,8.064636476,600,0.188679245,4,4,2,0,1,NoEspecifica,Casa en condominio,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.478459482,239.4775036,330000,1378,7.228388452,370,0.26850508,4,4,1,5,5,NoEspecifica,Casa en condominio,Pucusana,1,1,1,1,1,1,0,0,0,0
5.489291635,242.0856611,520000,2148,7.672292456,393,0.182960894,5,5,3,3,2,Remodelado,Casa,Chaclacayo,0,1,0,0,1,1,0,0,0,0
5.517536046,249.0207051,890000,3574,8.181440696,450,0.125909345,3,3,1,5,4,Remodelado,Casa,Cieneguilla,1,1,1,0,1,1,0,0,0,0
5.517536046,249.0207051,890000,3574,8.181440696,450,0.125909345,3,5,1,5,2,Remodelado,Casa,Cieneguilla,1,1,1,0,1,1,0,0,0,0
5.543439825,255.5555556,690000,2700,7.901007052,450,0.166666667,5,5,2,4,5,NoEspecifica,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.558284506,259.377494,650000,2506,7.826443135,250,0.099760575,5,5,1,5,3,NoEspecifica,Casa,Cieneguilla,1,1,1,1,0,0,0,0,0,0
5.560681631,260,1300000,5000,8.517193191,800,0.16,5,5,2,2,3,NoEspecifica,Casa,Lurin,1,1,1,1,1,1,0,0,0,0
5.597422459,269.7302697,1350000,5005,8.518192692,300,0.05994006,5,5,1,4,3,Muy bueno,Casa,Lurin,0,0,1,1,1,0,0,0,0,0
5.598692266,270.0729927,370000,1370,7.222566019,370,0.270072993,4,4,2,4,5,Muy bueno,Casa en condominio,Pucusana,1,1,1,1,1,1,0,0,0,0
5.599422459,270.2702703,130000,481,6.17586727,125,0.25987526,2,1,1,4,1,Excelente,Casa,Cieneguilla,0,1,1,0,0,0,0,0,0,0
5.626821434,277.7777778,150000,540,6.29156914,360,0.666666667,5,5,3,2,3,Bueno,Casa,Carabayllo,0,0,0,0,1,1,0,0,1,0
5.632392479,279.3296089,1450000,5191,8.554681636,700,0.134848777,5,5,2,0,3,NoEspecifica,Casa,Cieneguilla,1,1,0,0,1,1,0,0,0,0
5.639243954,281.25,45000,160,5.075173815,160,1,4,2,1,0,2,Remodelado,Casa,Ancon,0,0,0,0,0,0,0,1,0,1
5.649979769,284.2857143,199000,700,6.551080335,400,0.571428571,5,5,2,5,3,Bueno,Casa,Cieneguilla,0,0,0,0,0,1,0,0,0,0
5.703782475,300,60000,200,5.298317367,200,1,5,4,2,1,3,Bueno,Casa,Ventanilla,0,0,0,0,0,0,0,0,0,0
5.718171212,304.3478261,1400000,4600,8.433811582,600,0.130434783,4,5,1,4,8,Muy bueno,Casa,Chaclacayo,1,1,1,1,1,1,0,0,0,0
5.725443971,306.5693431,840000,2740,7.915713199,500,0.182481752,5,4,2,5,3,Muy bueno,Casa,Cieneguilla,1,1,1,0,1,1,0,0,0,0
5.731181449,308.3333333,1850000,6000,8.699514748,500,0.083333333,4,4,2,5,1,Bueno,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.73873935,310.6725146,850000,2736,7.914252279,288,0.105263158,5,5,1,2,7,Muy bueno,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.74907875,313.9013453,350000,1115,7.016609684,350,0.313901345,5,3,2,5,2,Bueno,Casa,Chaclacayo,0,1,1,1,1,1,0,0,0,0
5.762622975,318.1818182,49000,154,5.036952602,154,1,3,5,2,0,3,A Remodelar,Casa,Ventanilla,0,0,0,0,0,0,0,0,0,0
5.783825182,325,130000,400,5.991464547,400,1,5,5,2,3,1,Excelente,Casa,Carabayllo,0,0,0,0,0,1,0,1,1,1
5.793578474,328.1853282,85000,259,5.556828062,259,1,5,3,3,0,3,NoEspecifica,Casa,Ventanilla,0,0,0,0,0,0,0,0,0,0
5.798232265,329.7161937,395000,1198,7.088408779,200,0.166944908,3,5,3,3,8,Bueno,Casa,Cieneguilla,0,0,1,0,1,0,0,0,0,0
5.805565169,332.1428571,930000,2800,7.937374696,380,0.135714286,3,2,1,5,2,Muy bueno,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.80914299,333.3333333,90000,270,5.598421959,270,1,5,2,3,0,3,NoEspecifica,Casa,Ventanilla,0,0,0,0,0,1,0,1,1,1
5.831615846,340.9090909,75000,220,5.393627546,220,1,3,2,2,1,2,Bueno,Casa,Carabayllo,0,1,0,0,1,0,0,1,1,1
5.857933154,350,210000,600,6.396929655,600,1,5,5,3,1,1,NoEspecifica,Casa,Ventanilla,0,0,0,0,0,0,0,1,1,1
5.857933154,350,399000,1140,7.038783541,300,0.263157895,4,5,1,5,1,Muy bueno,Casa en condominio,Lurin,1,0,1,1,1,1,0,0,0,0
5.866301404,352.9411765,120000,340,5.828945618,170,0.5,2,2,2,0,2,A Remodelar,Casa,Cieneguilla,0,0,0,0,0,0,0,0,0,0
5.870946758,354.5845272,990000,2792,7.934513464,456,0.163323782,3,3,1,0,8,NoEspecifica,Casa,Pachacamac,1,1,1,0,1,1,0,0,0,0
5.880770909,358.0851866,950000,2653,7.883446354,360,0.135695439,4,5,1,4,1,NoEspecifica,Casa,Cieneguilla,1,1,1,1,1,1,0,0,0,0
5.887161673,360.3809524,189200,525,6.263398263,337,0.641904762,5,5,3,2,2,Muy bueno,Casa,Comas,0,0,0,0,1,1,0,1,0,1
5.893700378,362.745098,185000,510,6.234410726,510,1,3,2,1,0,3,Bueno,Casa,Callao,0,0,0,0,0,0,0,1,1,1
5.905437261,367.0276775,915000,2493,7.821242084,377,0.151223426,5,4,2,2,6,Bueno,Casa,Chaclacayo,0,1,1,0,1,1,0,0,0,0
5.909490964,368.5185185,199000,540,6.29156914,425,0.787037037,5,5,4,0,1,Remodelado,Casa,Comas,0,0,1,0,1,1,0,1,1,1
5.92308725,373.5632184,325000,870,6.768493212,350,0.402298851,5,5,2,5,3,Excelente,Casa,Chaclacayo,0,0,1,0,1,1,0,1,1,1
5.926926026,375,60000,160,5.075173815,140,0.875,3,3,1,1,4,Muy bueno,Casa,Ancon,0,0,0,0,0,0,0,1,1,1
5.929033508,375.7911392,475000,1264,7.142036575,324,0.256329114,4,4,2,5,1,Remodelado,Casa,Pachacamac,1,0,1,1,1,1,1,1,1,1
5.934894196,378,189000,500,6.214608098,200,0.4,5,5,3,1,2,Excelente,Casa en condominio,Chaclacayo,1,0,1,1,1,1,1,0,0,1
5.940171253,380,380000,1000,6.907755279,500,0.5,5,5,2,3,2,Bueno,Casa,Cieneguilla,1,0,1,1,1,1,1,0,0,1
5.944062308,381.4814815,103000,270,5.598421959,180,0.666666667,5,2,3,2,2,Remodelado,Casa,Carabayllo,0,0,1,0,1,1,0,1,1,1
5.958335223,386.9653768,190000,491,6.196444128,491,1,5,4,2,2,3,Excelente,Casa,Carabayllo,0,1,0,0,1,1,0,1,1,1
5.961611584,388.2352941,330000,850,6.745236349,300,0.352941176,4,5,1,2,3,Excelente,Casa,Lurigancho,1,0,1,1,1,1,1,1,0,1
